Month,Arcane: (Worldwide)
2021-01,12
2021-02,14
2021-03,13
2021-04,11
2021-05,15
2021-06,13
2021-07,12
2021-08,14
2021-09,16
2021-10,22
2021-11,100
2021-12,87
2022-01,45
2022-02,32
2022-03,28
2022-04,25
2022-05,23
2022-06,21
2022-07,19
2022-08,20
2022-09,22
2022-10,24
2022-11,28
2022-12,26
2023-01,23
2023-02,21
2023-03,20
2023-04,19
2023-05,18
2023-06,17
2023-07,16
2023-08,18
2023-09,19
2023-10,21
2023-11,23
2023-12,22
2024-01,20
2024-02,19
2024-03,18
2024-04,17
2024-05,19
2024-06,21
2024-07,23
2024-08,26
2024-09,32
2024-10,45
2024-11,92
2024-12,78
2025-01,52
